time_s,nodeId,x,y,z
18,10,208.437,-128.988,12.577
18,11,225.563,-44.918,-19.478
18,12,203.531,-47.632,-6.796
18,13,230.943,-120.179,3.713
18,14,219.094,-96.556,0.967
18,15,216.192,-76.443,-2.457
18,16,213.005,-116.3,-7.737
18,17,218.562,-87.067,-6.842
18,18,206.58,-99.612,-1.507
18,19,211.962,-34.206,1.35
19,0,226.91,-55.818,2.874
19,1,237.712,-70.82,12.237
19,2,231.424,-128.299,-11.977
19,3,220.459,-123.628,-20.553
19,4,227.876,-81.915,-13.65
19,5,241.655,-98.089,-7.466
19,6,232.813,-128.694,0.212
19,7,229.076,-42.788,-13.12
19,8,237.19,-103.055,13.698
19,9,225.331,-67.326,-16.401
19,10,219.514,-125.904,12.825
19,11,238.988,-48.912,-17.078
19,12,215.407,-53.788,-6.602
19,13,243.475,-115.707,4.382
19,14,230.82,-92.977,1.046
19,15,228.814,-79.735,-1.757
19,16,224.174,-113.958,-7.929
19,17,231.808,-86.444,-7.445
19,18,217.842,-95.59,-1.304
19,19,224.104,-39.599,1.406
20,0,238.387,-61.605,4.114
20,1,250.526,-74.489,12.05
20,2,243.657,-124.505,-12.874
20,3,232.574,-119.026,-20.802
20,4,240.429,-85.187,-14.16
20,5,253.48,-93.995,-7.98
20,6,245.219,-123.762,0.72
20,7,242.237,-46.61,-13.057
20,8,248.634,-98.815,13.996
20,9,237.988,-72.927,-16.451
20,10,232.952,-122.089,12.917
20,11,252.309,-53.511,-14.76
20,12,227.928,-58.136,-6.367
20,13,257.116,-111.731,5.008
20,14,242.124,-91.114,1.426
20,15,241.032,-84.956,-0.876
20,16,235.585,-109.176,-7.892
20,17,244.02,-85.143,-8.044
20,18,229.163,-91.805,-1.163
20,19,236.845,-44.467,1.692
21,0,251.788,-67.68,5.268
21,1,263.614,-78.281,11.911
21,2,255.259,-121.565,-13.648
21,3,244.045,-116.303,-20.782
21,4,253.083,-90.147,-15.055
21,5,265.897,-90.625,-8.559
21,6,257.427,-119.004,1.287
21,7,254.354,-50.633,-12.96
21,8,260.28,-95.519,14.079
21,9,250.224,-78.248,-16.584
21,10,244.398,-117.366,12.738
21,11,264.709,-57.47,-12.689
21,12,240.78,-63.185,-6.139
21,13,268.964,-106.826,5.392
21,14,255.245,-88.664,2.023
21,15,254.26,-87.361,0.089
21,16,246.503,-105.35,-8.16
21,17,257.18,-84.814,-8.815
21,18,240.805,-88.044,-0.897
21,19,249.192,-48.99,1.959
22,0,264.674,-71.722,6.475
22,1,275.979,-82.151,11.72
22,2,266.885,-116.42,-14.158
22,3,255.314,-110.803,-20.643
22,4,264.992,-94.256,-15.93
22,5,279.149,-88.437,-9.193
22,6,269.346,-114.928,1.804
22,7,267.549,-55.999,-12.762
22,8,271.991,-91.992,14.471
22,9,262.252,-81.208,-16.656
22,10,255.279,-111.737,12.432
22,11,278.239,-64.444,-10.597
22,12,253.548,-68.86,-5.818
22,13,281.716,-102.641,5.733
22,14,268.311,-86.378,3.17
22,15,265.609,-90.146,1.029
22,16,258.068,-103.635,-8.213
22,17,269.036,-84.745,-9.682
22,18,252.339,-85.468,-0.653
22,19,261.801,-56.256,2.239
23,0,277.802,-75.908,7.847
23,1,289.804,-85.295,11.652
23,2,279.351,-112.39,-14.621
23,3,267.999,-107.608,-20.197
23,4,276.765,-97.397,-17.098
23,5,292.133,-84.8,-9.906
23,6,282.307,-110.686,2.285
23,7,281.161,-60.43,-12.637
23,8,283.914,-89.41,15.071
