time_s,nodeId,x,y,z
13,14,0.293679,4.00571,18.5856
14,0,0.0204039,0.00660787,0.00697727
14,1,1.8113,0.127791,0.206522
14,2,2.00396,0.0215743,0.006544
14,3,2.99771,0.0926331,0.0354319
14,4,4.01331,0.0938746,0.0359589
14,5,5.24829,2.50824,7.84371
14,6,5.99474,0.118756,0.0930194
14,7,7.01198,0.10481,0.050416
14,8,7.99398,0.161623,1.09851
14,9,-0.651608,0.923202,0.741998
14,10,0.191968,0.747477,4.30853
14,11,0.719865,2.46194,3.35194
14,12,1.65101,1.22133,2.35986
14,13,2.99659,1.04162,0.0431461
14,14,0.0848174,3.36277,18.5747
15,0,0.0204039,0.00660787,0.00697727
15,1,1.8113,0.127791,0.206522
15,2,2.00396,0.0215743,0.006544
15,3,2.99771,0.0926331,0.0354319
15,4,4.01331,0.0938746,0.0359589
15,5,5.24829,2.50824,7.84371
15,6,5.99474,0.118756,0.0930194
15,7,7.01198,0.10481,0.050416
15,8,7.99654,0.164466,1.04534
15,9,-0.651608,0.923202,0.741998
15,10,0.191968,0.747477,4.30853
15,11,0.719865,2.46194,3.35194
15,12,1.65101,1.22133,2.35986
15,13,2.99659,1.04162,0.0431461
15,14,-0.703636,0.747275,18.5696
16,0,0.0204039,0.00660787,0.00697727
16,1,1.8113,0.127791,0.206522
16,2,2.00396,0.0215743,0.006544
16,3,2.99771,0.0926331,0.0354319
16,4,4.01331,0.0938746,0.0359589
16,5,5.24829,2.50824,7.84371
16,6,5.99474,0.118756,0.0930194
16,7,7.01198,0.10481,0.050416
16,8,8.00197,0.164854,0.992429
16,9,-0.651608,0.923202,0.741998
16,10,0.191968,0.747477,4.30853
16,11,0.719865,2.46194,3.35194
16,12,1.65101,1.22133,2.35986
16,13,2.99659,1.04162,0.0431461
16,14,-0.94773,-0.0550347,18.5562
17,0,0.0204039,0.00660787,0.00697727
17,1,1.8113,0.127791,0.206522
17,2,2.00396,0.0215743,0.006544
17,3,2.99771,0.0926331,0.0354319
17,4,4.01331,0.0938746,0.0359589
17,5,5.24829,2.50824,7.84371
17,6,5.99474,0.118756,0.0930194
17,7,7.01198,0.10481,0.050416
17,8,8.0074,0.165242,0.939521
17,9,-0.651608,0.923202,0.741998
17,10,0.191968,0.747477,4.30853
17,11,0.719865,2.46194,3.35194
17,12,1.65101,1.22133,2.35986
17,13,2.99659,1.04162,0.0431461
17,14,-0.948399,-0.0465289,18.5391
