FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum
121,10.0.0.1,10.0.0.10,4,4,0,0,28590.3,0.00772772
122,10.0.0.10,10.0.0.1,2,2,0,0,16686.3,0.00949702
123,10.0.0.14,10.0.0.12,4,4,0,0,28583.9,0.00571098
124,10.0.0.12,10.0.0.14,2,2,0,0,16055.6,0.00359306
125,10.0.0.9,10.0.0.10,4,4,0,0,28567.4,0.00980256
126,10.0.0.10,10.0.0.9,2,2,0,0,17365.4,0.00749012
127,10.0.0.2,10.0.0.13,6,6,0,0,149037,0.00154111
128,10.0.0.13,10.0.0.2,3,3,0,0,21435.8,0.0016601
129,10.0.0.8,10.0.0.13,4,4,0,0,28529.7,0.000878336
130,10.0.0.13,10.0.0.8,2,2,0,0,14694.1,0.00250408
131,10.0.0.5,10.0.0.6,6,6,0,0,149663,0.00186526
132,10.0.0.6,10.0.0.5,3,3,0,0,21540,0.000535961
133,10.0.0.2,10.0.0.13,6,6,0,0,150505,0.000704443
134,10.0.0.13,10.0.0.2,3,3,0,0,21647.6,0.000535901
135,10.0.0.3,10.0.0.10,6,6,0,0,148851,0.0016907
136,10.0.0.10,10.0.0.3,3,3,0,0,21452,0.00154312
137,10.0.0.3,10.0.0.10,6,6,0,0,150441,0.000718917
138,10.0.0.10,10.0.0.3,3,3,0,0,21647.6,0.000526907
139,10.0.0.12,10.0.0.6,4,4,0,0,28562,0.00380413
140,10.0.0.6,10.0.0.12,2,2,0,0,15493.3,0.00854308
141,10.0.0.13,10.0.0.2,6,6,0,0,150334,0.000713593
142,10.0.0.2,10.0.0.13,3,3,0,0,21644.3,0.000580901
143,10.0.0.14,10.0.0.12,6,6,0,0,149759,0.00184293
144,10.0.0.12,10.0.0.14,3,3,0,0,21540.1,0.000472919
145,10.0.0.8,10.0.0.4,6,6,0,0,148683,0.00187126
146,10.0.0.4,10.0.0.8,3,3,0,0,21422.9,0.00157015
147,10.0.0.15,10.0.0.14,6,6,0,0,149790,0.00178165
148,10.0.0.14,10.0.0.15,3,3,0,0,21543.3,0.000499919
149,10.0.0.12,10.0.0.5,4,4,0,0,28544.8,0.0038308
150,10.0.0.5,10.0.0.12,2,2,0,0,15488.3,0.00151407
151,10.0.0.2,10.0.0.5,6,6,0,0,148712,0.00182122
152,10.0.0.5,10.0.0.2,3,3,0,0,21432.6,0.00153409
153,10.0.0.7,10.0.0.11,6,6,0,0,149809,0.00184679
154,10.0.0.11,10.0.0.7,3,3,0,0,21578.2,0.00071015
155,10.0.0.7,10.0.0.1,4,4,0,0,28546.9,0.001797
156,10.0.0.1,10.0.0.7,2,2,0,0,14936.4,0.00148708
157,10.0.0.3,10.0.0.1,6,6,0,0,149693,0.00186845
158,10.0.0.1,10.0.0.3,3,3,0,0,21536.8,0.000499898
159,10.0.0.10,10.0.0.9,6,6,0,0,149617,0.00193809
160,10.0.0.9,10.0.0.10,3,3,0,0,21523.7,0.000517964
161,10.0.0.12,10.0.0.9,6,6,0,0,149518,0.00192677
162,10.0.0.9,10.0.0.12,3,3,0,0,21530.2,0.000499961
163,10.0.0.11,10.0.0.3,4,4,0,0,28561.8,0.00087093
164,10.0.0.3,10.0.0.11,2,2,0,0,14694.1,0.00247706
165,10.0.0.4,10.0.0.8,6,6,0,0,150250,0.000843393
166,10.0.0.8,10.0.0.4,3,3,0,0,21644.3,0.000571916
167,10.0.0.10,10.0.0.13,4,4,0,0,28532.8,0.000856476
168,10.0.0.13,10.0.0.10,2,2,0,0,14698.6,0.00948804
169,10.0.0.9,10.0.0.12,6,6,0,0,149604,0.00196633
170,10.0.0.12,10.0.0.9,3,3,0,0,21517.2,0.000553961
171,10.0.0.6,10.0.0.11,4,4,0,0,28540.7,0.00388355
172,10.0.0.11,10.0.0.6,2,2,0,0,15503.3,0.00254908
173,10.0.0.13,10.0.0.11,4,4,0,0,28574.8,0.00578484
174,10.0.0.11,10.0.0.13,2,2,0,0,16052.9,0.00750803
175,10.0.0.11,10.0.0.4,6,6,0,0,150402,0.000714299
176,10.0.0.4,10.0.0.11,3,3,0,0,21644.2,0.000508928
